,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,mood
83,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,242373,Happy
84,0.818,0.688,-7.083,0.0379,0.00209,0.0541,0.282,0.971,122.983,2qONptRzQM0D3BGOgAsapI,spotify:track:2qONptRzQM0D3BGOgAsapI,259507,Happy
85,0.794,0.628,-4.321,0.0328,0.0871,0.0,0.181,0.935,121.793,7BL33HmuFQien4olebugdj,spotify:track:7BL33HmuFQien4olebugdj,159119,Happy
86,0.59,0.868,-5.832,0.048,0.0962,0.000322,0.442,0.798,184.348,1ot6jEe4w4hYnsOPjd3xKQ,spotify:track:1ot6jEe4w4hYnsOPjd3xKQ,230640,Happy
87,0.654,0.791,-6.243,0.048,0.0392,0.0,0.321,0.603,133.042,04MNyOQZDvLsW2gjAm9q2L,spotify:track:04MNyOQZDvLsW2gjAm9q2L,199526,Happy
88,0.692,0.832,-4.414,0.0291,0.0881,0.0674,0.183,0.858,112.007,4S46FETQcxhXROubIV11M3,spotify:track:4S46FETQcxhXROubIV11M3,165810,Happy
89,0.631,0.924,-5.589,0.146,0.0841,3.59e-06,0.084,0.755,100.045,213x4gsFDm04hSqIUkg88w,spotify:track:213x4gsFDm04hSqIUkg88w,192280,Happy
90,0.782,0.873,-7.157,0.0475,0.141,0.0571,0.112,0.858,123.181,0KxTWgl64TNOQXiGFJYc6t,spotify:track:0KxTWgl64TNOQXiGFJYc6t,252933,Happy
91,0.689,0.887,-4.27,0.0424,0.0231,0.0,0.275,0.937,142.014,0Me1AKVY2wzxOKLMiaAtNy,spotify:track:0Me1AKVY2wzxOKLMiaAtNy,205027,Happy
92,0.699,0.641,-7.564,0.0289,0.13,0.000218,0.0601,0.728,120.745,6pxWv6GV35VGmcPf5dh6CH,spotify:track:6pxWv6GV35VGmcPf5dh6CH,187213,Happy
93,0.323,0.847,-4.716,0.0348,5.12e-06,0.0208,0.25,0.859,173.914,1Q8reqCOXg2yqNr47HGo9X,spotify:track:1Q8reqCOXg2yqNr47HGo9X,98400,Happy
94,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,4saklk6nie3yiGePpBwUoc,spotify:track:4saklk6nie3yiGePpBwUoc,199054,Happy
95,0.613,0.923,-5.234,0.0691,0.00892,0.0,0.149,0.669,96.043,2kiJ5lZQZusgWwpqA7z2i1,spotify:track:2kiJ5lZQZusgWwpqA7z2i1,166920,Happy
96,0.516,0.684,-5.659,0.0797,0.652,0.0,0.685,0.84,161.167,0BbA7S30mOQB94e4IBnqCt,spotify:track:0BbA7S30mOQB94e4IBnqCt,131160,Happy
97,0.636,0.881,-5.376,0.0758,0.134,0.00952,0.074,0.845,118.237,7BXToqZFtclAj6mshYWena,spotify:track:7BXToqZFtclAj6mshYWena,133467,Happy
98,0.526,0.763,-12.663,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,20CNpCKq1oTdvekXaboyeq,spotify:track:20CNpCKq1oTdvekXaboyeq,215160,Happy
99,0.618,0.837,-5.574,0.115,0.0842,0.0,0.344,0.8,168.114,1bxa0TPdBMHPeZFHe0adCw,spotify:track:1bxa0TPdBMHPeZFHe0adCw,174800,Happy
