name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
Eagle,Eagle,Ansatz Der Maschine,7uI4m3uAKy2WWH1mJZAYzO,2019-12-13,28.0,226400.0,0.339,0.937,0.142,0.91,0.0847,0.121,-21.613000000000003,0.0416,109.98,10.0,4.0,calm,,
Easily,A Song For Every Moon,Bruno Major,2k9N4caeCIJLOWwWwssrEM,2017-08-31,76.0,210240.0,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,7.0,3.0,sad,,
Easy Lover,Chinese Wall,Philip Bailey,7INi4pMPG4IE0Smx5y4KVf,1985-03-20,68.0,304506.0,0.7490000000000001,0.0674,0.6990000000000001,0.00192,0.0763,0.935,-13.108,0.0371,128.904,1.0,4.0,happy,,
Eden - Hunted Version,Hunted,Anna Calvi,5zfsg3FNA03fCUZzW2a9Fr,2020-03-06,35.0,257815.0,0.158,0.965,0.0963,0.105,0.0752,0.0395,-18.225,0.0398,71.012,0.0,4.0,sad,,
Edge of Seventeen,Crystal Visions...The Very Best of Stevie Nicks,Stevie Nicks,2id8E4WvczfKHB4LHI7Np3,2007-03-27,70.0,329680.0,0.59,0.277,0.828,5.57e-06,0.0868,0.636,-6.28,0.0439,111.353,0.0,4.0,happy,,
Eidolon,Eidolon,Monocle Twins,6KuzTwyczjBp1C4f60Y5ID,2020-01-24,54.0,257668.0,0.5529999999999999,0.862,0.24,0.946,0.0932,0.1639999999999999,-19.522,0.0304,128.986,10.0,3.0,calm,,
Emotions in Motion,Emotions in Motion,Jaakko Eino Kalevi,4UmpEQtTlhBOxDPePaK8qR,2018-08-01,23.0,256906.0,0.6509999999999999,0.199,0.503,0.644,0.0781,0.5579999999999999,-10.906,0.0323,133.04399999999998,0.0,4.0,sad,,
Empty Street at Night,Empty Street at Night,Golden Sleep,6CY6TBcuh13KEk34pMnZA8,2020-06-05,32.0,307000.0,0.211,0.903,0.0147,0.935,0.342,0.0667,-22.964,0.0456,169.899,2.0,3.0,calm,,
Escaping Time,Floating,Benjamin Martins,7JrSIPcfkWhDzxWII8Jz7V,2019-10-21,60.0,200346.0,0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,10.0,4.0,calm,,
Essential Attitudes,Honey,Peals,0T3UHut7JmCi5jcgYiMawm,2016-09-16,50.0,217987.0,0.444,0.449,0.4970000000000001,0.722,0.081,0.25,-12.601,0.0383,99.093,5.0,4.0,calm,,
Event Horizon,Event Horizon,Airwaves,7lSHfDPdyGdRyG234h5ToK,2018-10-30,57.0,310666.0,0.464,0.0665,0.38,0.898,0.114,0.0558,-8.052,0.0279,100.006,7.0,3.0,calm,,
Every Kinda People,Double Fun,Robert Palmer,5jkUfQV3wlplyoz0PUja09,1978-01-01,0.0,199200.0,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6.0,4.0,happy,,
Everybody Hurts,Part Lies Part Heart Part Truth Part Garbage 1982-2011,R.E.M.,0sSxUKtpE11r5VVx1DIMww,2011-11-11,0.0,316880.0,0.282,0.568,0.476,0.0185,0.157,0.186,-6.524,0.0274,187.604,2.0,3.0,sad,,
Everyday People,R&B: From Doo-Wop To Hip-Hop,Various Artists,7lL2lMWNtzOcf5HnEudNgn,1999-10-08,63.0,139506.0,0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,7.0,4.0,happy,,
Expedition,Expedition,Skytech,2MlnLVsrTJmHmdpzJQcQ6w,2019-09-20,51.0,150947.0,0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130.0,7.0,4.0,happy,,
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87.0,240133.0,0.5670000000000001,0.8390000000000001,0.267,1.46e-06,0.089,0.0592,-6.502000000000002,0.0299,110.011,4.0,4.0,sad,,
Falling Ashes,Slowdive,Slowdive,6Zr0mt1HdVUwTEdMwqPXsC,2017-05-05,45.0,480758.0,0.332,0.954,0.255,0.752,0.0784,0.134,-13.698,0.0309,187.786,9.0,4.0,sad,,
Falling Asleep,Falling Asleep,Tiz McNamara,1FunUekKzZ9Mgt3BMYCrfF,2019-10-25,53.0,202400.0,0.537,0.899,0.201,0.00163,0.077,0.196,-12.948,0.033,134.08700000000002,2.0,4.0,sad,,
Fascination,This Is Alphabeat,Alphabeat,4uqNn56KFQ7NtJ35xWZKvf,2007-12-10,0.0,181666.0,0.491,0.000285,0.831,7.879999999999999e-05,0.0761,0.828,-5.3210000000000015,0.0349,193.968,6.0,4.0,happy,,
Feels Like Flying,Feels Like Flying,Elementaries,3mMd2MGvEIDAfMfvcb9wsC,2020-06-15,40.0,198077.0,0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,11.0,4.0,calm,,
Feels Like We're Dying,Far Away,Johnny Goth,0IvaKmBYBLVcdP0Ft8Dwik,2017-02-22,51.0,185250.0,0.579,0.73,0.411,0.8,0.0945,0.125,-13.068,0.0329,79.988,6.0,1.0,sad,,
Fields After Rain,Fields After Rain,Martèn LeGrand,3OjwAIOhan5AIGS2p6fJrt,2020-06-05,37.0,176000.0,0.474,0.973,0.161,0.907,0.113,0.357,-20.952,0.043,82.89200000000002,5.0,3.0,calm,,
Fields Of Blossom,Fields Of Blossom,Martèn LeGrand,0BEkkhhqcCNx6VLMtshOiT,2020-04-24,32.0,197800.0,0.42,0.98,0.135,0.941,0.0974,0.155,-20.518,0.0815,118.9,4.0,4.0,calm,,
Fire in Cairo,A Sentimental Education,Luna,71Znjl8mUrHfSg38OQU8bb,2017-09-22,31.0,209052.0,0.5870000000000001,0.379,0.713,0.439,0.332,0.816,-8.857999999999997,0.0268,130.05,1.0,4.0,sad,,
Fix You,Fix You,Valentin,0x4CFzoSdqVq5qTGgwZFuX,2019-11-22,47.0,240000.0,0.5,0.6709999999999999,0.185,0.0,0.0827,0.159,-13.209,0.0302,140.148,1.0,4.0,sad,,
Fleur février,Fleur février,Jacco Wynia,16A82OAjqWawjDM8K5HCdm,2020-02-07,34.0,253904.0,0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,3.0,4.0,calm,,
Floating Sunbeams,Floating Sunbeams,Michael Orvind,7hJZMJqFRlypzSlxC7Kn8n,2020-07-07,33.0,159292.0,0.205,0.98,0.202,0.85,0.128,0.086,-15.952,0.0427,113.057,1.0,4.0,calm,,
Flowing,Flowing,Lucas Delphy,06G5MnuMA3cLbNwjFs8zIS,2020-05-20,39.0,131116.0,0.2,0.8959999999999999,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,0.0,4.0,calm,,
Fly - King Britt's Fhloston Paradigm Remix,Fly (King Britt's Fhloston Paradigm Remix),Low,69VbrwGah98lR7iuXkrk7e,2019-07-18,31.0,448426.0,0.614,0.521,0.498,0.855,0.136,0.418,-14.325,0.0466,120.003,10.0,3.0,sad,,
Focus,Focus,Light of Sun,3DZ7DFolE5U2xEGIzFjeGo,2019-06-03,51.0,190526.0,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,4.0,4.0,calm,,
Follow me,Follow me,Andre Ehmann,7d44sL4znFm5HZ6ltUVqbI,2019-07-19,51.0,204624.0,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2.0,4.0,calm,,
Found,Found,Martin Gauffin,2T2EemW8X3GlKvJe1gxpBC,2019-08-23,52.0,159049.0,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,0.0,4.0,calm,,
Free,TOGETHER,Third Party,6s2T9kuNYNZKsG5Fa1LiDN,2019-03-15,50.0,228971.0,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,3.0,4.0,happy,,
Freya,Cantec De Leagane / Freya,Dave Pad,0aaTrekfgJgLiH00lnPKm7,2017-03-24,46.0,284878.0,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,11.0,4.0,happy,,
Friday I'm In Love,Wish,The Cure,4QlzkaRHtU8gAdwqjWmO8n,1992-01-01,76.0,215160.0,0.526,0.00126,0.763,6.75e-05,0.359,0.514,-12.663,0.0341,136.205,0.0,4.0,happy,,
Frozen,Frozen,Ron Adelaar,4nTeeVQnNghbWWo6k7oPrH,2020-06-05,45.0,166000.0,0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,9.0,4.0,calm,,
Fête sous les étoiles,Suite,Biba Dupont,55ux9bDGw3qTVfad3PxSTq,2020-05-01,34.0,184000.0,0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,1.0,4.0,calm,,
Game Time (feat. Ninja),Game Time (feat. Ninja),3LAU,229MM2St7SnW43nT8ADlG8,2018-11-30,52.0,156631.0,0.534,8.05e-05,0.957,0.758,0.266,0.52,-4.025,0.0455,95.046,1.0,4.0,happy,,
Geno - 2000 Remaster,Searching For The Young Soul Rebels,Dexys Midnight Runners,7gb626DDDHoiuVAGZEnlJk,1980-07,55.0,207226.0,0.481,0.688,0.6,0.00633,0.963,0.818,-8.722000000000001,0.0801,124.637,6.0,4.0,happy,,
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2Foc5Q5nqNiosCNqttzHof,2013-04-19,78.0,248413.0,0.794,0.0426,0.8109999999999999,1.07e-06,0.101,0.862,-8.966000000000003,0.038,116.047,6.0,4.0,happy,,
Get Up Offa That Thing,20 All-Time Greatest Hits!,James Brown,0nyrltZrQGAJMBZc1bYvuQ,1991,53.0,250200.0,0.883,0.225,0.664,2.3e-06,0.941,0.8,-10.395,0.411,118.104,4.0,4.0,happy,,
Ghostride,Ghostride,Crumb,6mnYXjuK0CDzqem4eR5JGU,2019-05-09,0.0,126120.0,0.664,0.511,0.352,0.8059999999999999,0.109,0.45,-9.426,0.0278,87.054,2.0,4.0,sad,,
Glaciers,Bloom,Lights & Motion,2No1A7ZuMaBGxz45jmA9Gw,2018-02-02,53.0,176373.0,0.0789,0.733,0.16,0.7859999999999999,0.0943,0.0409,-18.144,0.0362,56.449,7.0,4.0,calm,,
Good Times,Risqué,CHIC,0G3fbPbE1vGeABDEZF0jeG,1979-07-30,66.0,495400.0,0.87,0.149,0.657,0.0102,0.053,0.893,-7.32,0.0522,110.596,2.0,4.0,happy,,
Good Vibrations - Remastered,Good Vibrations 40th Anniversary,The Beach Boys,2oF7FZHIJbzjeEXZ3D0Ku4,2006-01-01,66.0,217746.0,0.403,0.387,0.495,8.03e-06,0.147,0.38,-6.888,0.0312,132.912,10.0,4.0,happy,,
Goodbye,The Devil's Walk,Apparat,4VxaUj96W2jw9UOtKHu51p,2011,69.0,256786.0,0.484,0.406,0.457,0.6459999999999999,0.297,0.187,-13.976,0.0456,87.15899999999998,1.0,4.0,sad,,
Goshen,East Harlem,Beirut,5rLZGAZOstOC3fqhmGChvK,2011-06-14,0.0,200146.0,0.284,0.848,0.262,0.00483,0.0966,0.107,-9.869,0.028,98.66,11.0,4.0,sad,,
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Bach,Johann Sebastian Bach,7ANhXB1OJBaTb7kDoAJRLq,2019-09-27,31.0,159866.0,0.5660000000000001,0.995,0.00792,0.909,0.0874,0.0621,-34.484,0.0445,61.167,3.0,4.0,calm,,
Goya,Goya,Minxz,2bo6ZMPnFkWCd0VRTMwbcs,2019-07-12,21.0,235813.0,0.365,0.994,0.00656,0.888,0.119,0.0809,-21.678,0.0427,68.17,8.0,5.0,calm,,
Gracewood (Revisited),In Between (A-Side),Steven Vrancken,1TSpCeUusXyZ7FiaDuy3x1,2020-05-01,11.0,139050.0,0.353,0.969,0.0544,0.915,0.106,0.158,-22.657,0.0408,74.883,8.0,4.0,calm,,
Green Street,Green Street,Alexander Motovilov,4kjbflfFCcNWkBGWvYBSxz,2020-07-31,27.0,133125.0,0.373,0.978,0.191,0.944,0.0737,0.411,-24.099,0.0302,96.682,7.0,4.0,calm,,
Groove Is in the Heart,Rhino Hi-Five: Deee-Lite,Deee-Lite,2UVLuddklEVak5PXgC7baA,2005-04-19,65.0,231786.0,0.6940000000000001,0.0153,0.8809999999999999,0.0196,0.0851,0.924,-4.053,0.0701,121.554,1.0,4.0,happy,,
Happy Ending,Body And Soul,Joe Jackson,1qv9TWDpXh50DPLgWD4bnH,1984-01-01,51.0,218466.0,0.635,0.0973,0.8079999999999999,0.0,0.141,0.726,-5.026,0.0262,131.377,9.0,4.0,happy,,
Happy Together,Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,1967,74.0,176293.0,0.584,0.55,0.3670000000000001,1.3800000000000003e-05,0.0818,0.588,-9.638,0.0328,120.175,6.0,4.0,happy,,
Harvest Love,Harvest Love,Tash Sultana,2KK7OUblFkd7TT9TjWgW7z,2018-07-13,41.0,365928.0,0.276,0.314,0.251,6.05e-06,0.122,0.18,-9.078,0.0295,95.705,2.0,4.0,sad,,
Heaven - David Guetta & MORTEN Remix,Heaven (David Guetta & MORTEN Remix),Avicii,4QAUGy6k7c3IOAhgWz52r7,2019-08-23,66.0,215238.0,0.5720000000000001,0.00292,0.934,0.0198,0.105,0.204,-5.053,0.0446,125.948,6.0,4.0,happy,,
Heavenly,Heavenly,Cigarettes After Sex,0M6TLjxixptslrmQpWbRoR,2019-08-28,3.0,288594.0,0.539,0.617,0.4320000000000001,0.6920000000000001,0.11,0.133,-9.298,0.0249,105.196,8.0,4.0,sad,,
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,6dGnYIeXmHdcikdzNNDMm2,1969-09-26,83.0,185733.0,0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484000000000002,0.0347,129.171,9.0,4.0,happy,,
Highway to Hell,Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,1979-07-27,83.0,208400.0,0.574,0.061,0.913,0.00158,0.156,0.423,-4.793,0.133,115.728,6.0,4.0,happy,,
Hoovela,Hoovela,Steve Aoki,1dssHOp3HpaK9o5c0CL7xU,2018-10-05,0.0,207295.0,0.341,0.00123,0.989,0.8220000000000001,0.4,0.119,-3.828,0.111,103.48,4.0,1.0,happy,,
How Bizarre,How Bizarre,OMC,6RT3PxDEQOa7m6tK502DNa,1996,0.0,224053.0,0.784,0.261,0.675,1.4e-06,0.293,0.8540000000000001,-7.718,0.049,124.908,0.0,4.0,happy,,
How To Fight,How To Fight,Eartheater,6ruBSXfnFc6raFDFm9YB3r,2020-08-05,38.0,211295.0,0.404,0.7020000000000001,0.249,0.000911,0.171,0.284,-15.880999999999998,0.0472,120.221,7.0,4.0,sad,,
Human Connection,Human Connection,Cult Solo,1V17xHHZgIgZ6H14rinHdi,2017-11-02,49.0,328040.0,0.6,0.0938,0.882,0.912,0.0542,0.347,-8.394,0.0311,120.008,5.0,4.0,happy,,
Humans (Let Me Love You),Humans (Let Me Love You),Sick Individuals,1IB1GFSTgmeecjscmAJ0lW,2019-05-24,59.0,161048.0,0.584,0.21,0.835,1.49e-06,0.126,0.371,-3.663,0.0584,128.106,7.0,4.0,happy,,
Hunter,Hunter,Anna Calvi,2NRZo1Y3T6UaVCz1i8dMqm,2018-07-31,22.0,251693.0,0.439,0.316,0.454,0.000696,0.0901,0.388,-8.251,0.028,97.97,5.0,4.0,sad,,
Hypnagogia Well,Hypnagogia Well,Monocle Twins,2jpL7mFOMzRnbaSj790BfQ,2019-10-17,50.0,222000.0,0.545,0.7709999999999999,0.253,0.922,0.108,0.0529,-17.953,0.033,115.848,2.0,4.0,calm,,
I Can't Help (with Sarcastic Sounds),I Can't Help (with Sarcastic Sounds),Shoffy,1OdYu7mDO94ydUvfZPaPvP,2020-02-07,47.0,121250.0,0.7140000000000001,0.393,0.4,0.000718,0.109,0.318,-8.264,0.0618,81.97399999999998,2.0,4.0,sad,,
I Don't Know (feat. Samuel T. Herring),I Don't Know (feat. Samuel T. Herring),BADBADNOTGOOD,2rx8InAMTVDeZdkLUWHDmA,2017-10-20,0.0,256040.0,0.389,0.24,0.52,0.00467,0.337,0.654,-8.113999999999999,0.0332,134.329,0.0,4.0,sad,,
I Don't Trust That Bird of Prey,Requiescence,Random Forest,33gVbwdqw7aRX0Y2zM7qm3,2019-10-04,51.0,210500.0,0.52,0.605,0.305,0.899,0.16,0.0389,-14.38,0.0322,120.109,7.0,4.0,calm,,
I Took A Pill In Ibiza,"At Night, Alone.",Mike Posner,1PiKcVhlmHPvL7IPjx9dJk,2016-05-06,0.0,280800.0,0.636,0.618,0.319,1.7e-06,0.125,0.378,-10.065,0.0718,74.109,10.0,4.0,sad,,
I Was Made For Lovin' You,Dynasty (Remastered Version),KISS,2ZSCy3P1QzpJySCWA6NRIU,1979-03-23,1.0,271240.0,0.768,0.213,0.852,7.45e-05,0.0723,0.867,-6.215,0.038,128.374,4.0,4.0,happy,,
I Would Die 4 U,Purple Rain,Prince,6fBwVe6udYdnRqwqo06if8,1984-06-25,61.0,178986.0,0.731,0.0862,0.75,0.000388,0.202,0.639,-10.457,0.0321,135.406,2.0,4.0,happy,,
I dine øjne,I dine øjne,Efterklang,07htwTiSZVnQfdl38siCIn,2019-08-21,0.0,297249.0,0.67,0.762,0.417,0.0214,0.104,0.0708,-12.553,0.0404,121.13,8.0,4.0,sad,,
I'm Your Man,And Nothing Hurt,Spiritualized,5FRWe0PkPj4CQ4fvibzTEh,2018-09-07,32.0,268655.0,0.429,0.475,0.356,0.481,0.125,0.0965,-7.615,0.0282,139.915,0.0,3.0,sad,,
I've Been Fine,LoveLaws,TT,0KyPBZ6PAxzpcAobqxhaHu,2018-05-18,23.0,241079.0,0.5479999999999999,0.13,0.569,0.00134,0.0584,0.265,-6.215,0.039,75.082,11.0,4.0,sad,,
ID8,ID8,Dimitri Vangelis & Wyman,2jxfHzOYVLmGKejNRHvqoc,2020-03-06,51.0,197183.0,0.5760000000000001,0.0198,0.948,0.000123,0.6829999999999999,0.193,-4.251,0.0898,128.029,9.0,3.0,happy,,
If You Believe,Unification,Yonder Dale,0QurRfrHz1RGbdPpTx7lLV,2020-05-22,37.0,183428.0,0.575,0.937,0.202,0.441,0.103,0.142,-18.544,0.0444,139.94299999999998,8.0,4.0,calm,,
If You Think It's Love,Cheap Queen,King Princess,3iiL6merNpFNX1bny9sfvM,2019-10-25,57.0,203946.0,0.4320000000000001,0.807,0.34,0.0,0.0864,0.449,-7.977,0.0824,135.172,5.0,4.0,sad,,
Images,Images,DeLange,4sqIHHGPprOZNdW5zMx36p,2020-06-05,42.0,163666.0,0.387,0.993,0.00579,0.929,0.136,0.1369999999999999,-21.823,0.0439,111.991,7.0,4.0,calm,,
In This Moment,In This Moment,Lucas Delphy,7FORBAxm1qwuwbYo7Rtz42,2019-05-27,51.0,158666.0,0.479,0.7709999999999999,0.221,0.856,0.101,0.089,-19.689,0.0325,115.965,6.0,4.0,calm,,
Indigo,Indigo,LEFT.,2qoKkOBw3dAd8AlITOQ2Ca,2019-03-08,49.0,196589.0,0.503,0.488,0.504,1.59e-06,0.122,0.67,-6.843,0.416,85.39,0.0,4.0,sad,,
Infinite Sustain,Infinite Sustain,Amaranth Cove,5AciiCKJKTLKRrAPSrKQy5,2019-10-04,57.0,149000.0,0.529,0.8,0.214,0.907,0.109,0.0903,-19.268,0.0315,124.069,6.0,4.0,calm,,
Ingénue,Ingénue,Eline Moss,6mgKP4yo57GTSMc3fJlyWm,2019-11-18,55.0,158176.0,0.283,0.993,0.122,0.905,0.0927,0.112,-23.074,0.0285,83.74600000000002,9.0,4.0,calm,,
Inside*,Inside*,Ton Snijders,3GuzB4BEWq3bhZM8YydysZ,2020-06-12,8.0,106573.0,0.266,0.99,0.0028,0.889,0.0933,0.151,-33.729,0.0493,132.58100000000002,7.0,4.0,calm,,
Intermezzo No. 1 in E Minor,Intermezzo No. 1 in E Minor,Manuel Ponce,1HTYYXCKpMWiHRd7qIb6ui,2014,7.0,174013.0,0.31,0.995,0.0987,0.86,0.7140000000000001,0.0558,-25.408,0.0444,106.205,4.0,1.0,calm,,
Into Black,Blouse,Blouse,5d8pKJxoDlYX2SoFR6RCsm,2011-10-31,47.0,208237.0,0.705,0.463,0.6809999999999999,0.8390000000000001,0.123,0.7070000000000001,-8.277999999999999,0.0258,114.003,9.0,4.0,sad,,
Isonoe,GLIESE,Job Roggeveen,4sP8BZIZKGVq6jHOSPF17A,2020-02-28,23.0,159045.0,0.365,0.983,0.119,0.919,0.112,0.249,-20.962,0.0405,147.57299999999995,7.0,4.0,calm,,
It Takes Me Back,Hopeless Romantics,Emmrose,07FUh3cxCPNQFIIp8aSWCy,2020-03-20,41.0,142200.0,0.487,0.902,0.111,0.000107,0.35,0.179,-11.608,0.0356,87.161,5.0,4.0,sad,,
It's My Fault,It's My Fault,Lolo Zouaï,3QP17SZh39ZVczQnopq9BE,2020-04-24,54.0,195986.0,0.647,0.815,0.235,1.7800000000000002e-05,0.233,0.0382,-10.123,0.0389,129.85,8.0,4.0,sad,,
Jealous,Jealous,Labrinth,4L2K7JKseFCBoHMZEAszW0,2014-11-21,79.0,287693.0,0.435,0.873,0.155,0.0,0.107,0.0935,-8.948,0.046,128.532,1.0,3.0,sad,,
"John Wayne Gacy, Jr.",Illinois,Sufjan Stevens,2gFBh7NnEfSeBoZZDB5d2C,2005-07-05,50.0,199920.0,0.463,0.917,0.179,1.73e-05,0.12,0.183,-14.852,0.0402,80.747,0.0,4.0,sad,,
Juliens Journey,Juliens Journey,Reinhard Vanbergen,0DVw5GHPCUImZ8VmRdlbmx,2020-05-29,33.0,219213.0,0.578,0.994,0.0154,0.945,0.0799,0.244,-24.126,0.0987,123.953,2.0,3.0,calm,,
Jupiter 4,Jupiter 4,Sharon Van Etten,64BirkPW9F4XgzoLAiOBCP,2018-11-27,39.0,314080.0,0.475,0.0168,0.498,0.4920000000000001,0.1369999999999999,0.0592,-10.609000000000002,0.0303,88.882,10.0,4.0,sad,,
Just Can't Get Enough - Live in Hammersmith,Love In Itself.2 and Live Tracks,Depeche Mode,5LAdBsIfjzAsusjc6WSLmH,1983-01-01,56.0,335466.0,0.653,0.0082,0.975,0.5,0.6779999999999999,0.911,-9.071,0.0409,126.919,0.0,4.0,happy,,
Just Look at You,432 Water Crystals,369,62X7ld1sa8RHl4zRtSvfHf,2020-02-21,59.0,187385.0,0.5579999999999999,0.985,0.249,0.925,0.103,0.111,-14.715,0.0303,94.991,7.0,4.0,calm,,
Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1ko2lVN0vKGUl9zrU0qSlT,1985,70.0,237106.0,0.8029999999999999,0.5760000000000001,0.488,0.0609,0.0763,0.624,-9.303,0.0803,95.771,1.0,4.0,happy,,
K.,K.,Rosie Carney,6vG1pcmNGdG6Vu62I9nLGL,2018-01-05,58.0,269000.0,0.348,0.962,0.226,0.00483,0.135,0.173,-10.918,0.0386,129.251,3.0,3.0,sad,,
Kangaroo (Remastered),It'll End In Tears (Remastered),This Mortal Coil,1HdIqEOl9MxoJNsz33VOvW,1984,47.0,209093.0,0.19,0.768,0.1669999999999999,0.1639999999999999,0.126,0.0491,-11.298,0.0291,169.636,3.0,4.0,sad,,
Kaolnite,Kaolnite,Burgundy Skies,4fItBSHKBcgKWixN1Idie5,2019-03-15,50.0,180689.0,0.247,0.622,0.231,0.87,0.0878,0.0485,-19.639,0.0328,174.014,1.0,4.0,calm,,
Keep Going,Keep Going,Mark Milan,4Hhup3YZfajcC7O0DNbwCq,2019-12-20,31.0,200527.0,0.385,0.994,0.305,0.949,0.109,0.172,-12.044,0.0466,74.024,3.0,4.0,calm,,
Kids In The Dark,Kids In The Dark,Bat For Lashes,2dqq3YMX6nlJKXhrjY5W4J,2019-06-10,35.0,208613.0,0.47,0.524,0.526,0.00557,0.0856,0.257,-10.987,0.0307,138.97799999999998,1.0,4.0,sad,,
Kinky Living,Clockdust,Rustin Man,4eMoWR7Lughvru6Rn97uPi,2020-03-20,19.0,285000.0,0.526,0.7090000000000001,0.493,0.606,0.0993,0.574,-9.728,0.0428,154.071,2.0,4.0,sad,,
Kinky Love,Flesh Balloon,Pale Saints,3Uz3K1Ctq6MOIDqRddKHXo,1991-06-24,46.0,244240.0,0.376,0.133,0.277,0.0,0.0643,0.309,-18.291,0.0357,178.81400000000005,1.0,4.0,sad,,
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,62LJFaYihsdVrrkgUOJC05,1986-03-31,73.0,226240.0,0.898,0.0135,0.271,0.00138,0.0461,0.742,-12.238,0.091,111.485,7.0,4.0,happy,,
Kiss On My List - Remastered,Hall & Oates,Daryl Hall & John Oates,3Jrf9MHZZWx3cXBeMkZWUu,2006-05-15,37.0,261200.0,0.8059999999999999,0.138,0.847,0.00157,0.067,0.97,-4.47,0.0319,121.718,0.0,4.0,happy,,
Kite,Kite,YuMe,6a8U8DihiuewRpRQ2OOCVU,2020-02-07,35.0,110714.0,0.534,0.973,0.019,0.8959999999999999,0.108,0.157,-26.071,0.0413,115.917,7.0,4.0,calm,,
Klangfall - Piano Version,Klangfall (Piano Version),Joep Beving,4pWowM3xMkRYgHsIJDf61f,2020-01-17,42.0,353007.0,0.394,0.993,0.0807,0.944,0.0964,0.0394,-25.987,0.0318,124.904,0.0,4.0,calm,,
La Luz,Chapter I,City of the Sun,6iQ6AKHlGjQTrpZIqfOtyK,2019-11-15,49.0,303120.0,0.5589999999999999,0.0463,0.441,0.763,0.115,0.389,-13.862,0.0398,94.014,7.0,4.0,calm,,
Last Time,Last Time,Johnning,7v3tuzPub1Qd490tiVddwF,2020-05-15,54.0,202480.0,0.628,0.111,0.5870000000000001,0.0,0.156,0.4,-5.195,0.0441,140.01,7.0,4.0,sad,,
Late in the Evening,One-Trick Pony,Paul Simon,2h23bjG8B3bcD47HBu6bHG,1980-08-01,60.0,242706.0,0.72,0.199,0.88,0.0246,0.0865,0.961,-8.988,0.0406,118.623,5.0,4.0,happy,,
Laugavegur,Laugavegur,Dreyma,4nZSgFwgYUOyWcBX61JY6j,2018-10-09,56.0,188795.0,0.515,0.54,0.408,0.769,0.0916,0.308,-12.688,0.0385,115.002,7.0,4.0,calm,,
Lay Your Head On Me (feat. Marcus Mumford),Lay Your Head On Me (feat. Marcus Mumford),Major Lazer,0oB9964bp22Bmok0Dmxlzb,2020-03-26,61.0,199895.0,0.6579999999999999,0.0471,0.765,1.02e-05,0.0936,0.222,-7.002000000000002,0.0469,119.974,11.0,4.0,happy,,
Let It Go,Chaos And The Calm,James Bay,13HVjjWUZFaWilh2QUJKsP,2014-12-15,73.0,260533.0,0.546,0.818,0.311,1.65e-05,0.107,0.246,-10.396,0.0288,147.464,1.0,4.0,sad,,
Let It Out,Xy Chelsea (Original Soundtrack),Jehnny Beth,72rHjyz3i7K90Hk1eF1f0c,2019-06-07,38.0,213173.0,0.596,0.381,0.528,0.8590000000000001,0.205,0.15,-12.481,0.0289,117.041,2.0,4.0,sad,,
Let's Go Crazy,Purple Rain,Prince,0QeI79sp1vS8L3JgpEO7mD,1984-06-25,63.0,280000.0,0.309,0.0192,0.93,0.0022,0.106,0.376,-6.399,0.125,195.815,11.0,4.0,happy,,
Light Year,Light Year,Evan Michael Brown,1C2JiKNMjv8FaZlrgwObBJ,2019-07-28,51.0,234000.0,0.301,0.99,0.189,0.893,0.106,0.0379,-16.072,0.0351,139.894,9.0,4.0,calm,,
Light Years,Light Years,The National,0dcKsPZVWa64MvnoCes49q,2019-04-04,0.0,213373.0,0.544,0.95,0.316,0.7,0.0978,0.173,-11.666,0.0307,124.989,4.0,4.0,sad,,
