name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
Awaken,Awaken,William Duhamel,00ZtJgQax06A96l8sMcmlB,2020-01-02,55.0,129936.0,0.346,0.929,0.0943,0.918,0.102,0.109,-13.632,0.0362,127.006,2.0,3.0,calm,,
Back+,Back+,Ton Snijders,6MrVWgw16iHBGRntjRkGQq,2020-04-10,26.0,198746.0,0.383,0.993,0.0197,0.944,0.121,0.113,-28.192,0.0528,67.555,7.0,3.0,calm,,
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,2020-03-12,39.0,157930.0,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5.0,4.0,sad,,
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,2018-01-19,57.0,193220.0,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9.0,4.0,sad,,
Bad Timing,Bad Timing,Arlo Day,2KSCegx6TosQQEgmhJKNQa,2019-04-15,30.0,254886.0,0.471,0.6890000000000001,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6.0,4.0,sad,,
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,2017-02-01,0.0,290736.0,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5.0,4.0,sad,,
Balloon,Balloon,YuMe,6a9DN96EWRc56Lwl5YD7KL,2020-05-01,34.0,143212.0,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5.0,3.0,calm,,
Bayybe 07,Bayybe,Bilo 503,08qO8i2K0Hxl0h8PIncyuH,2017-11-17,50.0,114195.0,0.44,0.8270000000000001,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7.0,4.0,calm,,
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,0AG2l0IboWNSwjUkMr2Aq7,2018-11-30,39.0,256688.0,0.5720000000000001,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6.0,3.0,sad,,
Beautiful Life,Beautiful Life,Lost Frequencies,2s25Z079T5KRzfqEQRMQQ4,2016-06-03,31.0,161463.0,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2.0,4.0,happy,,
Beekweide,Beekweide,Job Roggeveen,199PI6mx1IFrDk8ZMtNTyX,2020-07-10,34.0,219215.0,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8.0,4.0,calm,,
